10000 50000
9655 9245 415
7575 7152 491
5538 9311 160
2077 8881 278
6532 1031 741
4047 7805 630
9390 1945 920
8260 8976 17
8229 8026 774
2103 1199 198
813 3544 763
9792 4749 876
6876 4768 987
5401 9998 530
1434 1656 594
1204 8148 166
4690 7151 660
3726 6574 108
1413 8652 53
6201 3368 821
3920 588 10
1598 5235 288
8956 1178 957
8734 5088 376
1355 8597 408
9516 120 108
2552 4485 239
7280 9375 887
1156 6330 466
146 1728 394
3419 4170 371
1146 9448 448
7759 8252 510
1257 4187 669
3191 9678 869
478 9394 668
7716 5721 522
9420 6236 321
3281 7621 443
4949 183 545
2836 4742 477
3758 1226 439
7543 9734 215
309 194 489
1629 2878 42
2425 373 479
3600 6446 959
1969 6089 531
1585 2987 202
3257 2251 550
8306 8578 82
5253 105 489
1427 4291 176
2776 5067 258
7801 2618 548
4689 849 490
979 7381 546
7324 2392 876
9750 5899 78
9398 6432 418
4827 436 973
9422 7826 878
8244 2867 423
4623 2386 111
3131 772 737
1452 9249 221
2978 6890 223
4771 1224 604
4065 3187 855
2514 7090 313
3421 5559 461
4777 6552 772
12 2441 544
8228 9398 75
1678 6721 110
9466 2421 95
7233 2851 263
160 5993 943
547 7656 64
6205 9758 121
8654 5901 624
8274 2175 922
33 1235 935
5407 5036 973
3504 2078 714
7576 6597 525
1578 9788 511
4211 1927 283
1296 5065 131
1447 9910 491
2203 7913 619
201 6042 682
3730 5553 410
8637 9084 416
2296 8636 164
7553 4552 90
6000 2381 786
6601 1594 724
123 3693 493
6482 8206 9
6627 4861 92
8760 2486 662
3754 8503 622
2838 3531 785
9459 2747 141
2050 8540 748
9480 4129 383
265 4860 671
3729 3606 698
8037 2064 641
6782 5278 511
7458 7563 288
4114 3675 616
1825 83 504
8474 4935 20
9553 8538 416
3758 2166 944
2307 7161 890
5464 1735 901
5562 3196 179
6377 2936 178
2182 826 147
8144 9336 246
3201 7333 32
6848 6536 481
5559 9543 162
4927 2460 987
5799 9090 154
872 5839 807
1591 5598 856
9322 1199 151
2628 27 785
1571 6815 289
887 4977 680
2383 2876 159
4406 951 809
7923 8309 365
4816 3827 200
9453 9949 170
7801 640 945
6276 1471 938
3857 4228 392
9271 8519 251
6679 5688 215
8756 7887 793
6173 990 681
7749 3589 714
8834 7915 410
917 2945 266
8884 2832 943
6027 9492 430
5488 8375 433
4566 537 865
1808 2874 675
1884 9039 919
6775 1896 571
5518 5649 897
5251 7514 290
721 1772 635
2633 7992 670
986 6002 113
6063 7990 938
4118 583 246
6786 4374 516
7416 9762 654
7223 4154 935
9878 4318 495
9391 8117 595
8116 5565 472
1493 8323 353
6183 6701 416
2658 7048 92
7922 182 121
1019 7932 497
9144 3035 357
2228 9165 687
1036 1136 162
7262 568 243
5289 8405 360
3722 167 301
1598 5752 624
4816 3953 998
5067 3306 163
7068 6191 598
5712 5670 62
4590 8912 546
1049 1495 495
9249 8252 548
1731 5332 988
3914 7277 234
118 452 276
8735 3793 839
3854 3215 943
7801 6153 235
4136 1390 489
5250 328 3
7802 1820 866
1695 5577 555
965 7686 102
6811 5950 800
8717 9212 413
4570 7445 998
7564 8043 727
6444 8302 505
1299 5347 925
220 1824 517
4455 3700 252
1569 3569 551
6451 4278 196
3022 5146 856
7375 8960 878
7409 1989 111
6464 2724 505
7682 4068 694
3007 5410 51
6325 1453 593
2862 2694 34
2935 6915 178
6573 4007 405
2745 6313 962
1527 9898 88
5043 7385 984
6021 7131 358
9425 5111 925
189 1612 3
2108 4287 881
6776 3227 400
3646 1129 262
7026 2982 455
5528 9078 924
2837 4284 877
4161 3144 839
2678 506 70
214 1728 334
4806 460 290
1791 8313 23
9696 9982 647
3292 6057 340
5725 7367 248
646 2253 488
9232 1960 527
595 7867 126
2527 7662 84
9647 8703 616
9603 7243 942
7888 994 926
2737 8947 630
1157 9513 939
6104 4225 509
4004 2748 322
1633 2248 513
405 1223 30
4370 1065 846
7735 6821 790
1032 1353 290
7431 5568 791
9438 6354 387
5201 17 886
7214 5767 932
316 8017 524
6199 8953 259
1081 4922 915
1310 167 298
5273 1707 33
1687 656 17
3810 6828 739
6891 4971 718
5123 7920 239
448 4512 55
6594 9518 342
2097 4575 9
1739 4649 313
9579 9856 250
805 6995 535
8113 4214 603
5676 859 969
224 6262 47
1442 8514 848
4071 1814 325
4099 6267 683
1494 1135 374
6941 9090 906
6557 3650 956
9167 9518 416
4845 7962 989
6685 7145 387
1909 4647 527
121 7637 902
857 858 120
8047 5014 968
2242 7050 76
5702 5320 470
4321 9003 895
779 3180 494
7431 9536 200
4155 6961 998
8937 2964 455
9957 753 460
8884 9262 901
8352 4892 888
9852 6767 532
4855 2600 924
2413 5074 856
1769 3501 371
1964 9125 855
1997 8683 969
4812 2225 26
7296 5938 145
9886 2446 244
7185 4684 171
3754 5587 678
7863 3690 778
